"value","count"
"about","1"
"address","1"
"anchor","1"
"bullet","1"
"color","1"
"column min width","1"
"company","1"
"copyright","1"
"data privacy link","1"
"default","1"
"email","1"
"hard space","1"
"heading","1"
"hidden","1"
"hover text","1"
"icon","1"
"iframe sandbox","1"
"info category","1"
"inline formatting","1"
"interface labels","1"
"jump label","1"
"l_ prefix","1"
"link category","1"
"link with title","1"
"local category","1"
"localisation","1"
"lorem ipsum","1"
"new window","1"
"phone","1"
"popup","1"
"share buttons","1"
"shariff","1"
"sitename","1"
"soft hyphen","1"
"spacing","1"
"subscript","1"
"superscript","1"
"symbol","1"
"template labels","1"
"text category","1"
"tracking code","1"
"translation","1"
"widget","1"
"youtube","1"
"placeholders","5"
