"value","count"
"about","1"
"accordion","1"
"article","1"
"audio","1"
"background image","1"
"backlinks","1"
"blog","1"
"blog overview","1"
"bold","1"
"breadcrumb","1"
"calendar","1"
"carousel","1"
"chat","1"
"cms_application","1"
"columns","1"
"comments","1"
"comparison table","1"
"consent gate","1"
"contact form","1"
"content category","1"
"cookie consent","1"
"download","1"
"dropdown","1"
"email obfuscation","1"
"emphasis","1"
"faq","1"
"favicon","1"
"forum","1"
"gallery","1"
"gdpr","1"
"grid","1"
"h1","1"
"h2","1"
"h3","1"
"heading","1"
"hover image","1"
"html embed","1"
"iframe","1"
"image","1"
"image media category","1"
"inline formatting","1"
"italic","1"
"job offer","1"
"json-ld","1"
"landing pages","1"
"language switcher","1"
"layout category","1"
"legal info","1"
"lightbox","1"
"like-h1","1"
"link buttons","1"
"link category","1"
"logged in","1"
"login","1"
"mailform","1"
"map","1"
"menu","1"
"minimal","1"
"misc category","1"
"modal","1"
"module category","1"
"navigation category","1"
"new window","1"
"newsletter","1"
"open graph","1"
"page category","1"
"page shell","1"
"page template","1"
"page title","1"
"plugin","1"
"protected content","1"
"redirect","1"
"responsive visibility","1"
"rows","1"
"rss channel","1"
"rss reader","1"
"rss subscribe","1"
"search","1"
"simple design","1"
"sitemap","1"
"slide show","1"
"slider","1"
"spam protection","1"
"stickybar","1"
"structured data","1"
"teaser","1"
"testimonial","1"
"text block","1"
"text category","1"
"thumbnail","1"
"tracking","1"
"uncategorized","1"
"utility templates","1"
"video","1"
"visitors online","1"
"youtube","1"
"parallax","2"
"templates","10"
