group.log:=name=Access analysis;comment=Members of this group can view the access log analysis and data;permission=interface.log
user.admin:=name=Administrator;password=8c6976e5b5410415bde908bd4dee15dfb167a9c873fc4bb8a81f6f2ab448a918;permission=*;timezone=Europe/Berlin;comment=Main administration account
user.agentmauz:=name=Agent Mauz;password=c794c5cfbbc1d4dcf0c70f6458e4422f867a72daee0af3b4629adebb03a08a89;permission=*;timezone=UTC;comment=Universal AI agent with full admin rights;instruction_interval=10;group=group.agent
group.agent:=name=Agent memory;permission=memory[chr10]memory.scope.info_placeholders.reader[chr10]memory.scope.info_placeholders.writer[chr10]memory.scope.info_templates.reader[chr10]memory.scope.info_templates.writer[chr10]memory.scope.org_complaints.reader[chr10]memory.scope.org_complaints.writer[chr10]memory.scope.org_decisions.reader[chr10]memory.scope.org_decisions.writer[chr10]memory.scope.org_discussion.reader[chr10]memory.scope.org_discussion.writer[chr10]memory.scope.org_documents.reader[chr10]memory.scope.org_documents.writer[chr10]memory.scope.org_instructions.reader[chr10]memory.scope.org_instructions.writer[chr10]memory.scope.org_suggestions.reader[chr10]memory.scope.org_suggestions.writer[chr10]memory.scope.org_tasks.reader[chr10]memory.scope.org_tasks.writer[chr10]memory.scope.org_voting.reader[chr10]memory.scope.org_voting.writer[chr10]memory.scope.pwnc_platform_backend.reader[chr10]memory.scope.pwnc_platform_backend.writer[chr10]memory.scope.pwnc_platform_desktop.reader[chr10]memory.scope.pwnc_platform_desktop.writer[chr10]memory.scope.pwnc_platform_frontend.reader[chr10]memory.scope.pwnc_platform_frontend.writer[chr10]memory.scope.scratchpad.*[chr10]memory.scope.site_development.reader[chr10]memory.scope.site_development.writer[chr10]memory.scope.site_environment.reader[chr10]memory.scope.site_environment.writer[chr10]memory.scope.site_security.reader[chr10]memory.scope.site_security.writer;comment=Members of this group can use the general purpose memory regions for agents
user.archive:=name=Archive;password=686ac95892e5ee804b6571d2fea55f39;permission=interface.content[chr10]interface.content.editor[chr10]interface.content.publisher[chr10]interface.content.writer;timezone=UTC;comment=Archive of the editor (utility account)
group.blog:=name=Blog;permission=content.blog[chr10]content.blog.comment.reader.*[chr10]content.blog.reader.*;comment=Members of this group can read blog articles and comments
group.blog-comment:=name=Blog comment;permission=content.blog[chr10]content.blog.comment.writer.*[chr10]content.blog.reader.*;comment=Members of this group can read and create comments on blog articles
group.blog-operator:=name=Blog operator;permission=content.blog.operator;comment=Members of this group can administer blogs
group.blog-writer:=name=Blog writer;permission=content.blog[chr10]content.blog.comment.writer.*[chr10]content.blog.writer.*;comment=Members of this group can create and edit blog articles
group.messenger:=name=Chat;permission=chat[chr10]chat.control;comment=Members of this group can participate in the chat
group.messenger-operator:=name=Chat operator;permission=chat.operator;comment=Members of this group can administer the chat
group.comment:=name=Comment;permission=content.comment[chr10]content.comment.reader.*;comment=Members of this group can read comments
